Capabilities,SubCapability,TEBStatus,NameofTools,Version,ToolDescription,StandardsComments,EANotes,Manufacturer,StandardCategory,EAReferenceID,MetaTags,MetaTagsDescription,CapabilityManager
Cloud Platforms,PaaS App Hosting,Approved,Azure App Service,2026.01,Managed app hosting for web apps and APIs with built-in scaling.,"Approved for new solutions under Cloud Platforms / PaaS App Hosting. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0011,paas;app-hosting;autoscale;tls;cloud,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Cloud Platforms,PaaS App Hosting,Conditional,Google Cloud Run,2026.01,Container-based serverless runtime for stateless services.,"Conditionally allowed for Cloud Platforms / PaaS App Hosting when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Google Cloud,Allowed,EA-STD-0012,serverless;containers;paas;autoscale;cloud,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Cloud Platforms,Cost Management,Approved,Azure Cost Management + Billing,2026.01,"Cost visibility, budgets, and chargeback reporting for Azure.","Approved for new solutions under Cloud Platforms / Cost Management. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0013,cloud;cost-management;finops;budgets;chargeback,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Cloud Platforms,Cost Management,Approved,AWS Cost Explorer,2026.01,Cost insights and reporting for AWS usage and reservations.,"Approved for new solutions under Cloud Platforms / Cost Management. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Amazon Web Services,Allowed,EA-STD-0014,cloud;cost-management;finops;budgets;optimization,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
App Development,Web Frameworks,Approved,ASP.NET Core,2026.01,Modern web framework for secure APIs and web applications.,"Approved for new solutions under App Development / Web Frameworks. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0015,framework;apis;secure-coding;sdlc;runtime,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
App Development,Web Frameworks,Approved,Spring Boot,3.3.2,Java framework for microservices and REST APIs with opinionated defaults.,"Approved for new solutions under App Development / Web Frameworks. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",VMware,Standard,EA-STD-0016,framework;java;microservices;apis;secure-coding,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
App Development,Frontend Frameworks,Approved,React,18.2.0,UI library for building web front-ends with component architecture.,"Approved for new solutions under App Development / Frontend Frameworks. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Meta,Allowed,EA-STD-0017,frontend;framework;sdlc;dependency-management;ui,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
App Development,Frontend Frameworks,Conditional,Angular,17.3.0,Frontend framework for large-scale web apps with strong structure.,"Conditionally allowed for App Development / Frontend Frameworks when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Google,Allowed,EA-STD-0018,frontend;framework;typescript;dependency-management;ui,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
App Development,Languages & Runtimes,Approved,Java (OpenJDK LTS),21.0.2,Standard Java runtime for enterprise services and back-end workloads.,"Approved for new solutions under App Development / Languages & Runtimes. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Eclipse Adoptium,Standard,EA-STD-0019,runtime;secure-coding;dependency-management;sdlc;java,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
App Development,Languages & Runtimes,Approved,Node.js (LTS),20.11.1,JavaScript runtime for APIs and tooling with long-term support.,"Approved for new solutions under App Development / Languages & Runtimes. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",OpenJS Foundation,Standard,EA-STD-0020,runtime;javascript;apis;sdlc;dependency-management,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
App Development,API Documentation,Approved,OpenAPI Specification,3.1.0,"Standard for API contracts, documentation, and code generation.","Approved for new solutions under App Development / API Documentation. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",OpenAPI Initiative,Standard,EA-STD-0021,api;contract;governance;sdlc;documentation,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
App Development,Build Tools,Approved,Maven,3.9.8,Build and dependency management for Java-based applications.,"Approved for new solutions under App Development / Build Tools. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Apache,Standard,EA-STD-0022,build;dependency-management;sdlc;java;supply-chain,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
App Development,Build Tools,Approved,Gradle,8.7,Flexible build automation and dependency management for JVM projects.,"Approved for new solutions under App Development / Build Tools. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Gradle Inc.,Standard,EA-STD-0023,build;dependency-management;sdlc;java;automation,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Integration,API Gateway,Approved,Azure API Management,2026.01,API gateway and API management platform for routing and policy enforcement.,"Approved for new solutions under Integration / API Gateway. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0024,api;gateway;oauth2;policy;rate-limiting,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Integration,API Gateway,Approved,Apigee API Management,2026.01,"API management suite with gateway, security policies, and developer portal.","Approved for new solutions under Integration / API Gateway. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Google Cloud,Standard,EA-STD-0025,api;gateway;developer-portal;oauth2;analytics,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Integration,API Gateway,Conditional,Kong Gateway,3.6.1,"API gateway for routing, plugins, and policy enforcement.","Conditionally allowed for Integration / API Gateway when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Kong Inc.,Allowed,EA-STD-0026,api;gateway;plugins;oauth2;rate-limiting,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Integration,API Management,Approved,Azure API Management (Control Plane),2026.01,"API lifecycle governance including policies, products, and subscriptions.","Approved for new solutions under Integration / API Management. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0027,api;management;governance;products;subscriptions,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Integration,API Management,Conditional,Apigee X,2026.01,Managed API management platform with analytics and developer tooling.,"Conditionally allowed for Integration / API Management when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Google Cloud,Allowed,EA-STD-0028,api;management;analytics;developer-portal;governance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Integration,Messaging,Approved,RabbitMQ,3.13.2,Message broker for reliable asynchronous communication and routing.,"Approved for new solutions under Integration / Messaging. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",VMware,Allowed,EA-STD-0029,messaging;queue;pubsub;integration;reliability,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Integration,Event Streaming,Approved,Azure Event Hubs,2026.01,High-throughput event ingestion and streaming for telemetry and integration.,"Approved for new solutions under Integration / Event Streaming. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0030,events;streaming;pubsub;telemetry;integration,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Integration,Event Streaming,Approved,Apache Kafka,3.7.0,Distributed event streaming platform for durable logs and consumer replay.,"Approved for new solutions under Integration / Event Streaming. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Apache,Allowed,EA-STD-0031,events;streaming;pubsub;replay;integration,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Integration,File Transfer,Approved,SFTP (OpenSSH),9.7,Secure file transfer over SSH for batch integrations.,"Approved for new solutions under Integration / File Transfer. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",OpenSSH,Standard,EA-STD-0032,integration;file-transfer;ssh;security;batch,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Integration,iPaaS,Approved,Boomi AtomSphere,2026.01,Integration platform for SaaS and on-prem connectivity with managed connectors.,"Approved for new solutions under Integration / iPaaS. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Boomi,Allowed,EA-STD-0033,ipaas;integration;connectors;mapping;governance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Integration,Enterprise Service Bus,Conditional,MuleSoft Anypoint Platform,2026.01,Integration and API platform for ESB-style and API-led connectivity.,"Conditionally allowed for Integration / Enterprise Service Bus when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Salesforce,Allowed,EA-STD-0034,integration;esb;api-led;connectors;governance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Data & Analytics,Data Lake Storage,Approved,Azure Data Lake Storage Gen2,2026.01,Scalable storage for lakehouse patterns with ACLs and analytics integration.,"Approved for new solutions under Data & Analytics / Data Lake Storage. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0035,data-lake;storage;governance;privacy;lakehouse,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Data & Analytics,Data Lake Storage,Approved,Amazon S3,2026.01,Object storage for data lakes with lifecycle policies and replication.,"Approved for new solutions under Data & Analytics / Data Lake Storage. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Amazon Web Services,Standard,EA-STD-0036,data-lake;storage;replication;privacy;governance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Data & Analytics,ETL/ELT,Approved,Azure Data Factory,2026.01,Data integration and orchestration for batch ingestion and transformation.,"Approved for new solutions under Data & Analytics / ETL/ELT. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0037,etl;pipelines;orchestration;lineage;governance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Data & Analytics,ETL/ELT,Approved,dbt Core,1.8.6,Transformation framework for analytics engineering and SQL-based modeling.,"Approved for new solutions under Data & Analytics / ETL/ELT. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",dbt Labs,Allowed,EA-STD-0038,elt;sql;warehouse;lineage;governance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Data & Analytics,Data Warehouse,Approved,Snowflake,8.18,Cloud data warehouse for governed analytical workloads.,"Approved for new solutions under Data & Analytics / Data Warehouse. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Snowflake Inc.,Strategic,EA-STD-0039,warehouse;bi;governance;privacy;performance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Data & Analytics,Data Warehouse,Approved,BigQuery,2026.01,Serverless data warehouse for large-scale analytics on GCP.,"Approved for new solutions under Data & Analytics / Data Warehouse. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Google Cloud,Allowed,EA-STD-0040,warehouse;sql;governance;bi;cloud,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Data & Analytics,BI & Reporting,Approved,Microsoft Power BI,Service,Enterprise BI for governed dashboards and self-service reporting.,"Approved for new solutions under Data & Analytics / BI & Reporting. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0041,bi;reporting;governance;datasets;privacy,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Data & Analytics,BI & Reporting,Conditional,Tableau,2024.4,BI platform for enterprise dashboards where required by vendor/legacy constraints.,"Conditionally allowed for Data & Analytics / BI & Reporting when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Salesforce,Allowed,EA-STD-0042,bi;reporting;dashboards;governance;legacy,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Data & Analytics,BI & Reporting,Conditional,Looker,2026.01,BI platform with semantic modeling for governed exploration on GCP.,"Conditionally allowed for Data & Analytics / BI & Reporting when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Google,Allowed,EA-STD-0043,bi;semantic-layer;reporting;governance;modeling,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Data & Analytics,Data Catalog,Approved,Microsoft Purview,2026.01,"Data catalog, lineage, and governance platform for enterprise metadata.","Approved for new solutions under Data & Analytics / Data Catalog. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0044,governance;lineage;catalog;privacy;compliance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Data & Analytics,Search & Discovery,Approved,Azure AI Search,2026.01,Managed search for enterprise content with indexing and relevance tuning.,"Approved for new solutions under Data & Analytics / Search & Discovery. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Allowed,EA-STD-0045,search;indexing;security;relevance;content,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Data & Analytics,Data Quality,Approved,Great Expectations,0.18.12,Data quality framework for validation rules and pipeline checks.,"Approved for new solutions under Data & Analytics / Data Quality. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",GX Community,Allowed,EA-STD-0046,data-quality;testing;pipelines;governance;monitoring,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Data & Analytics,Streaming Analytics,UnderReview,Azure Stream Analytics,2026.01,Stream processing engine for event transformations and real-time outputs.,Under review for Data & Analytics / Streaming Analytics. Allowed for evaluation/pilot only. Production use requires an approved exception and re-review.,ARB: Allow non-production pilots only with success criteria and rollback plan. Re-review prior to production.,Microsoft,Restricted,EA-STD-0047,streaming;events;realtime;etl;monitoring,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Security,Secrets Management,Approved,Azure Key Vault,2026.01,"Central secrets, keys, and certificates storage with rotation and audit.","Approved for new solutions under Security / Secrets Management. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0048,secrets;encryption;iam;audit;zero-trust,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Security,Secrets Management,Conditional,AWS Secrets Manager,2026.01,Managed secrets store with rotation workflows and access logging.,"Conditionally allowed for Security / Secrets Management when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Amazon Web Services,Restricted,EA-STD-0049,secrets;rotation;audit;iam;compliance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Security,SIEM,Approved,Microsoft Sentinel,2026.01,"Cloud-native SIEM/SOAR for detection, investigation, and response.","Approved for new solutions under Security / SIEM. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0050,siem;soar;threat-detection;audit;compliance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Security,SIEM,Conditional,Splunk Enterprise Security,8.2,SIEM add-on for Splunk for advanced correlation and dashboards.,"Conditionally allowed for Security / SIEM when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Splunk,Allowed,EA-STD-0051,siem;logging;correlation;audit;compliance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Security,Threat Detection,Approved,AWS GuardDuty,2026.01,Managed threat detection for AWS accounts and workloads.,"Approved for new solutions under Security / Threat Detection. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Amazon Web Services,Standard,EA-STD-0052,threat-detection;cloud;signals;compliance;zero-trust,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Security,Cloud Security Posture,Approved,Microsoft Defender for Cloud,2026.01,Cloud security posture management and workload protection.,"Approved for new solutions under Security / Cloud Security Posture. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0053,cspm;compliance;vulnerability;iam;audit,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Security,Cloud Security Posture,Conditional,Google Security Command Center,2026.01,Security posture management and findings aggregation for GCP.,"Conditionally allowed for Security / Cloud Security Posture when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Google Cloud,Standard,EA-STD-0054,cspm;compliance;iam;audit;threat-detection,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Security,Endpoint Protection,Approved,Microsoft Defender for Endpoint,2026.01,Endpoint detection and response for managed devices.,"Approved for new solutions under Security / Endpoint Protection. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0055,edr;endpoint;threat-detection;compliance;zero-trust,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Security,Vulnerability Scanning,Approved,Tenable Nessus,10.8,Vulnerability scanning for infrastructure and configuration checks.,"Approved for new solutions under Security / Vulnerability Scanning. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Tenable,Standard,EA-STD-0056,vulnerability;scanning;compliance;patching;audit,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Security,DLP,Approved,Microsoft Purview DLP,2026.01,Data loss prevention policies across endpoints and SaaS.,"Approved for new solutions under Security / DLP. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0057,dlp;privacy;compliance;classification;audit,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Security,Encryption,Exception,HashiCorp Vault,1.15.6,Secrets and encryption services for specialized workloads needing Vault features.,"Exception-only use for Security / Encryption. Must be time-bound with compensating controls, risk acceptance, and an exit plan.",ARB: Record exception ID and expiry. Obtain risk acceptance and schedule follow-up review before exception lapses.,HashiCorp,Restricted,EA-STD-0058,secrets;encryption;kms;audit;exception,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Identity,SSO / IdP,Approved,Microsoft Entra ID,2026.01,"Identity provider for SSO, federation, conditional access, and lifecycle.","Approved for new solutions under Identity / SSO / IdP. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0059,sso;idp;mfa;conditional-access;provisioning,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Identity,SSO / IdP,Conditional,Okta Workforce Identity,2026.01,Workforce identity provider for SSO and federation where required.,"Conditionally allowed for Identity / SSO / IdP when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Okta,Allowed,EA-STD-0060,sso;idp;federation;mfa;provisioning,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
