Capabilities,SubCapability,TEBStatus,NameofTools,Version,ToolDescription,StandardsComments,EANotes,Manufacturer,StandardCategory,EAReferenceID,MetaTags,MetaTagsDescription,CapabilityManager
Cloud Platforms,Cloud Governance,Approved,GCP Organization Policy,2026.2,GCP Organization Policy is used for cloud governance within the cloud platforms domain.,Approved for Cloud Governance. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",GCP,Standard,EA-STD-0036,cloud platforms;cloud-governance;enterprise;standard,,
Cloud Platforms,Cost Management,Approved,Azure Cost Management,2026.3,Azure Cost Management is used for cost management within the cloud platforms domain.,Approved for Cost Management. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Allowed,EA-STD-0037,cloud platforms;cost-management;enterprise;standard,,
Cloud Platforms,Cost Management,Conditional,Azure Cost Management,2026.4,Azure Cost Management is used for cost management within the cloud platforms domain.,Conditional for Cost Management. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Restricted,EA-STD-0038,cloud platforms;cost-management;enterprise;standard,,
Cloud Platforms,Cost Management,UnderReview,Azure Cost Management,2026.5,Azure Cost Management is used for cost management within the cloud platforms domain.,UnderReview for Cost Management. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Sunset,EA-STD-0039,cloud platforms;cost-management;enterprise;standard,,
Cloud Platforms,Cost Management,Deprecated,AWS Cost Explorer,2026.1,AWS Cost Explorer is used for cost management within the cloud platforms domain.,Deprecated for Cost Management. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AWS,Strategic,EA-STD-0040,cloud platforms;cost-management;enterprise;standard,,
Cloud Platforms,Cost Management,Exception,AWS Cost Explorer,2026.2,AWS Cost Explorer is used for cost management within the cloud platforms domain.,Exception for Cost Management. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AWS,Standard,EA-STD-0041,cloud platforms;cost-management;enterprise;standard,,
Cloud Platforms,Cost Management,Approved,AWS Cost Explorer,2026.3,AWS Cost Explorer is used for cost management within the cloud platforms domain.,Approved for Cost Management. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AWS,Allowed,EA-STD-0042,cloud platforms;cost-management;enterprise;standard,,
Cloud Platforms,Cost Management,Approved,GCP Billing,2026.4,GCP Billing is used for cost management within the cloud platforms domain.,Approved for Cost Management. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",GCP,Restricted,EA-STD-0043,cloud platforms;cost-management;enterprise;standard,,
Cloud Platforms,Cost Management,Approved,GCP Billing,2026.5,GCP Billing is used for cost management within the cloud platforms domain.,Approved for Cost Management. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",GCP,Sunset,EA-STD-0044,cloud platforms;cost-management;enterprise;standard,,
Cloud Platforms,Cost Management,Conditional,GCP Billing,2026.1,GCP Billing is used for cost management within the cloud platforms domain.,Conditional for Cost Management. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",GCP,Strategic,EA-STD-0045,cloud platforms;cost-management;enterprise;standard,,
App Development,Web Frameworks,UnderReview,ASP.NET Core,2026.2,ASP.NET Core is used for web frameworks within the app development domain.,UnderReview for Web Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",ASP.NET,Standard,EA-STD-0046,app development;web-frameworks;enterprise;standard,,
App Development,Web Frameworks,Deprecated,ASP.NET Core,2026.3,ASP.NET Core is used for web frameworks within the app development domain.,Deprecated for Web Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",ASP.NET,Allowed,EA-STD-0047,app development;web-frameworks;enterprise;standard,,
App Development,Web Frameworks,Exception,ASP.NET Core,2026.4,ASP.NET Core is used for web frameworks within the app development domain.,Exception for Web Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",ASP.NET,Restricted,EA-STD-0048,app development;web-frameworks;enterprise;standard,,
App Development,Web Frameworks,Approved,Spring Boot,2026.5,Spring Boot is used for web frameworks within the app development domain.,Approved for Web Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Spring,Sunset,EA-STD-0049,app development;web-frameworks;enterprise;standard,,
App Development,Web Frameworks,Approved,Spring Boot,2026.1,Spring Boot is used for web frameworks within the app development domain.,Approved for Web Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Spring,Strategic,EA-STD-0050,app development;web-frameworks;enterprise;standard,,
App Development,Web Frameworks,Approved,Spring Boot,2026.2,Spring Boot is used for web frameworks within the app development domain.,Approved for Web Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Spring,Standard,EA-STD-0051,app development;web-frameworks;enterprise;standard,,
App Development,Web Frameworks,Conditional,Django,2026.3,Django is used for web frameworks within the app development domain.,Conditional for Web Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Django,Allowed,EA-STD-0052,app development;web-frameworks;enterprise;standard,,
App Development,Web Frameworks,UnderReview,Django,2026.4,Django is used for web frameworks within the app development domain.,UnderReview for Web Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Django,Restricted,EA-STD-0053,app development;web-frameworks;enterprise;standard,,
App Development,Web Frameworks,Deprecated,Django,2026.5,Django is used for web frameworks within the app development domain.,Deprecated for Web Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Django,Sunset,EA-STD-0054,app development;web-frameworks;enterprise;standard,,
App Development,Frontend Frameworks,Exception,React,2026.1,React is used for frontend frameworks within the app development domain.,Exception for Frontend Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",React,Strategic,EA-STD-0055,app development;frontend-frameworks;enterprise;standard,,
App Development,Frontend Frameworks,Approved,React,2026.2,React is used for frontend frameworks within the app development domain.,Approved for Frontend Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",React,Standard,EA-STD-0056,app development;frontend-frameworks;enterprise;standard,,
App Development,Frontend Frameworks,Approved,React,2026.3,React is used for frontend frameworks within the app development domain.,Approved for Frontend Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",React,Allowed,EA-STD-0057,app development;frontend-frameworks;enterprise;standard,,
App Development,Frontend Frameworks,Approved,Angular,2026.4,Angular is used for frontend frameworks within the app development domain.,Approved for Frontend Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Angular,Restricted,EA-STD-0058,app development;frontend-frameworks;enterprise;standard,,
App Development,Frontend Frameworks,Conditional,Angular,2026.5,Angular is used for frontend frameworks within the app development domain.,Conditional for Frontend Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Angular,Sunset,EA-STD-0059,app development;frontend-frameworks;enterprise;standard,,
App Development,Frontend Frameworks,UnderReview,Angular,2026.1,Angular is used for frontend frameworks within the app development domain.,UnderReview for Frontend Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Angular,Strategic,EA-STD-0060,app development;frontend-frameworks;enterprise;standard,,
App Development,Frontend Frameworks,Deprecated,Vue.js,2026.2,Vue.js is used for frontend frameworks within the app development domain.,Deprecated for Frontend Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Vue.js,Standard,EA-STD-0061,app development;frontend-frameworks;enterprise;standard,,
App Development,Frontend Frameworks,Exception,Vue.js,2026.3,Vue.js is used for frontend frameworks within the app development domain.,Exception for Frontend Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Vue.js,Allowed,EA-STD-0062,app development;frontend-frameworks;enterprise;standard,,
App Development,Frontend Frameworks,Approved,Vue.js,2026.4,Vue.js is used for frontend frameworks within the app development domain.,Approved for Frontend Frameworks. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Vue.js,Restricted,EA-STD-0063,app development;frontend-frameworks;enterprise;standard,,
App Development,Languages & Runtimes,Approved,Java OpenJDK,2026.5,Java OpenJDK is used for languages & runtimes within the app development domain.,Approved for Languages & Runtimes. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Java,Sunset,EA-STD-0064,app development;languages-&-runtimes;enterprise;standard,,
App Development,Languages & Runtimes,Approved,Java OpenJDK,2026.1,Java OpenJDK is used for languages & runtimes within the app development domain.,Approved for Languages & Runtimes. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Java,Strategic,EA-STD-0065,app development;languages-&-runtimes;enterprise;standard,,
App Development,Languages & Runtimes,Conditional,Java OpenJDK,2026.2,Java OpenJDK is used for languages & runtimes within the app development domain.,Conditional for Languages & Runtimes. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Java,Standard,EA-STD-0066,app development;languages-&-runtimes;enterprise;standard,,
App Development,Languages & Runtimes,UnderReview,Node.js,2026.3,Node.js is used for languages & runtimes within the app development domain.,UnderReview for Languages & Runtimes. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Node.js,Allowed,EA-STD-0067,app development;languages-&-runtimes;enterprise;standard,,
App Development,Languages & Runtimes,Deprecated,Node.js,2026.4,Node.js is used for languages & runtimes within the app development domain.,Deprecated for Languages & Runtimes. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Node.js,Restricted,EA-STD-0068,app development;languages-&-runtimes;enterprise;standard,,
App Development,Languages & Runtimes,Exception,Node.js,2026.5,Node.js is used for languages & runtimes within the app development domain.,Exception for Languages & Runtimes. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Node.js,Sunset,EA-STD-0069,app development;languages-&-runtimes;enterprise;standard,,
App Development,Languages & Runtimes,Approved,Python,2026.1,Python is used for languages & runtimes within the app development domain.,Approved for Languages & Runtimes. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Python,Strategic,EA-STD-0070,app development;languages-&-runtimes;enterprise;standard,,
App Development,Languages & Runtimes,Approved,Python,2026.2,Python is used for languages & runtimes within the app development domain.,Approved for Languages & Runtimes. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Python,Standard,EA-STD-0071,app development;languages-&-runtimes;enterprise;standard,,
App Development,Languages & Runtimes,Approved,Python,2026.3,Python is used for languages & runtimes within the app development domain.,Approved for Languages & Runtimes. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Python,Allowed,EA-STD-0072,app development;languages-&-runtimes;enterprise;standard,,
App Development,Build Tools,Conditional,Maven,2026.4,Maven is used for build tools within the app development domain.,Conditional for Build Tools. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Maven,Restricted,EA-STD-0073,app development;build-tools;enterprise;standard,,
App Development,Build Tools,UnderReview,Maven,2026.5,Maven is used for build tools within the app development domain.,UnderReview for Build Tools. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Maven,Sunset,EA-STD-0074,app development;build-tools;enterprise;standard,,
App Development,Build Tools,Deprecated,Maven,2026.1,Maven is used for build tools within the app development domain.,Deprecated for Build Tools. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Maven,Strategic,EA-STD-0075,app development;build-tools;enterprise;standard,,
App Development,Build Tools,Exception,Gradle,2026.2,Gradle is used for build tools within the app development domain.,Exception for Build Tools. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Gradle,Standard,EA-STD-0076,app development;build-tools;enterprise;standard,,
App Development,Build Tools,Approved,Gradle,2026.3,Gradle is used for build tools within the app development domain.,Approved for Build Tools. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Gradle,Allowed,EA-STD-0077,app development;build-tools;enterprise;standard,,
App Development,Build Tools,Approved,Gradle,2026.4,Gradle is used for build tools within the app development domain.,Approved for Build Tools. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Gradle,Restricted,EA-STD-0078,app development;build-tools;enterprise;standard,,
App Development,Build Tools,Approved,npm,2026.5,npm is used for build tools within the app development domain.,Approved for Build Tools. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",npm,Sunset,EA-STD-0079,app development;build-tools;enterprise;standard,,
App Development,Build Tools,Conditional,npm,2026.1,npm is used for build tools within the app development domain.,Conditional for Build Tools. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",npm,Strategic,EA-STD-0080,app development;build-tools;enterprise;standard,,
App Development,Build Tools,UnderReview,npm,2026.2,npm is used for build tools within the app development domain.,UnderReview for Build Tools. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",npm,Standard,EA-STD-0081,app development;build-tools;enterprise;standard,,
App Development,API Documentation,Deprecated,OpenAPI,2026.3,OpenAPI is used for api documentation within the app development domain.,Deprecated for API Documentation. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",OpenAPI,Allowed,EA-STD-0082,app development;api-documentation;enterprise;standard,,
App Development,API Documentation,Exception,OpenAPI,2026.4,OpenAPI is used for api documentation within the app development domain.,Exception for API Documentation. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",OpenAPI,Restricted,EA-STD-0083,app development;api-documentation;enterprise;standard,,
App Development,API Documentation,Approved,OpenAPI,2026.5,OpenAPI is used for api documentation within the app development domain.,Approved for API Documentation. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",OpenAPI,Sunset,EA-STD-0084,app development;api-documentation;enterprise;standard,,
App Development,API Documentation,Approved,SwaggerHub,2026.1,SwaggerHub is used for api documentation within the app development domain.,Approved for API Documentation. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",SwaggerHub,Strategic,EA-STD-0085,app development;api-documentation;enterprise;standard,,
App Development,API Documentation,Approved,SwaggerHub,2026.2,SwaggerHub is used for api documentation within the app development domain.,Approved for API Documentation. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",SwaggerHub,Standard,EA-STD-0086,app development;api-documentation;enterprise;standard,,
App Development,API Documentation,Conditional,SwaggerHub,2026.3,SwaggerHub is used for api documentation within the app development domain.,Conditional for API Documentation. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",SwaggerHub,Allowed,EA-STD-0087,app development;api-documentation;enterprise;standard,,
App Development,API Documentation,UnderReview,AsyncAPI,2026.4,AsyncAPI is used for api documentation within the app development domain.,UnderReview for API Documentation. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AsyncAPI,Restricted,EA-STD-0088,app development;api-documentation;enterprise;standard,,
App Development,API Documentation,Deprecated,AsyncAPI,2026.5,AsyncAPI is used for api documentation within the app development domain.,Deprecated for API Documentation. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AsyncAPI,Sunset,EA-STD-0089,app development;api-documentation;enterprise;standard,,
App Development,API Documentation,Exception,AsyncAPI,2026.1,AsyncAPI is used for api documentation within the app development domain.,Exception for API Documentation. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AsyncAPI,Strategic,EA-STD-0090,app development;api-documentation;enterprise;standard,,
Integration,API Gateway,Approved,Azure API Management,2026.2,Azure API Management is used for api gateway within the integration domain.,Approved for API Gateway. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Standard,EA-STD-0091,integration;api-gateway;enterprise;standard,,
Integration,API Gateway,Approved,Azure API Management,2026.3,Azure API Management is used for api gateway within the integration domain.,Approved for API Gateway. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Allowed,EA-STD-0092,integration;api-gateway;enterprise;standard,,
Integration,API Gateway,Approved,Azure API Management,2026.4,Azure API Management is used for api gateway within the integration domain.,Approved for API Gateway. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Restricted,EA-STD-0093,integration;api-gateway;enterprise;standard,,
Integration,API Gateway,Conditional,Apigee,2026.5,Apigee is used for api gateway within the integration domain.,Conditional for API Gateway. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Apigee,Sunset,EA-STD-0094,integration;api-gateway;enterprise;standard,,
