Capabilities,SubCapability,TEBStatus,NameofTools,Version,StandardsComments,EANotes,Manufacturer,StandardCategory,EAReferenceID,Description,MetaTags,MetaTagsDescription,CapabilityManager
Analytics,Feature Store,TEB Approved,Prometheus,1.0.8,Approved as a standard for enterprise use.,Provisional until further risk assessment is complete.,Cisco,Product Standard,EA6773602,"Prometheus is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","AI Experience Platform, Cost Management, Semantic Ranker, Automation, BM25, Observability",AI Experience Platform: scope or capability related to ai experience platform. Cost Management: scope or capability related to cost management. Semantic Ranker: scope or capability related to semantic ranker. Automation: scope or capability related to automation. BM25: scope or capability related to bm25. Observability: scope or capability related to observability.,Shawn Jackson
Messaging,Backup & DR,Deprecated,Kong Gateway,2.4.3,Approved as a standard for enterprise use.,Document architecture in the catalog and link runbooks.,NVIDIA,Provisional Standard,EA5009788,"Kong Gateway is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Contact Center, Serverless, Customer Experience, Analytics",Contact Center: scope or capability related to contact center. Serverless: scope or capability related to serverless. Customer Experience: scope or capability related to customer experience. Analytics: scope or capability related to analytics.,Jordan Anderson
Finance Tools,Feature Store,Deprecated,API Management,2.9.9,Approved as a standard for enterprise use.,Document architecture in the catalog and link runbooks.,Google,Internal Only,EA9985435,"API Management is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Semantic Ranker, Cost Management, UC Platform, Compliance",Semantic Ranker: scope or capability related to semantic ranker. Cost Management: scope or capability related to cost management. UC Platform: scope or capability related to uc platform. Compliance: scope or capability related to compliance.,Avery Williams
Analytics,Data Warehouse,TEB Approved,Teams,4.9.9,Provisional until further risk assessment is complete.,Provisional until further risk assessment is complete.,NVIDIA,Product Standard,EA8425135,"Teams is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Analytics, Automation, CI/CD, Networking, PII",Analytics: scope or capability related to analytics. Automation: scope or capability related to automation. CI/CD: scope or capability related to ci/cd. Networking: scope or capability related to networking. PII: scope or capability related to pii.,Casey Anderson
Messaging,Patch Mgmt,TEB Approved,AKS,3.1.2,Pilot completed with positive feedback from stakeholders.,Provisional until further risk assessment is complete.,Oracle,Legacy,EA2449353,"AKS is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Serverless, DevOps, Semantic Ranker, Contact Center, Customer Experience",Serverless: scope or capability related to serverless. DevOps: scope or capability related to devops. Semantic Ranker: scope or capability related to semantic ranker. Contact Center: scope or capability related to contact center. Customer Experience: scope or capability related to customer experience.,Avery Davis
Content Services,MLOps,TEB Approved,Teams,3.2.4,Deprecated for new deployments; maintain only.,Hybrid retrieval and strict filtering supported.,NVIDIA,Internal Only,EA8011280,"Teams is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Cloud Communications, Networking, UC Platform, Observability, Contact Center",Cloud Communications: scope or capability related to cloud communications. Networking: scope or capability related to networking. UC Platform: scope or capability related to uc platform. Observability: scope or capability related to observability. Contact Center: scope or capability related to contact center.,Casey Brown
Messaging,DNS and Addresses,Provisional Standard,Redshift,2.1.5,Vendor support SLA reviewed by procurement.,Enable logging and tag resources for cost allocation.,ServiceNow,Product Standard,EA3226025,"Redshift is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Microservices, Compliance, Edge, Vector Search, Semantic Ranker, Analytics",Microservices: scope or capability related to microservices. Compliance: scope or capability related to compliance. Edge: scope or capability related to edge. Vector Search: scope or capability related to vector search. Semantic Ranker: scope or capability related to semantic ranker. Analytics: scope or capability related to analytics.,Kendall Jackson
Finance Tools,ETL/ELT,TEB Approved,Qdrant,4.3.3,Hybrid retrieval and strict filtering supported.,Requires private endpoint and managed identity configuration.,Snowflake,Product Standard,EA3036541,"Qdrant is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","LLM Orchestration, Disaster Recovery, Serverless, Cost Management, Compliance",LLM Orchestration: scope or capability related to llm orchestration. Disaster Recovery: scope or capability related to disaster recovery. Serverless: scope or capability related to serverless. Cost Management: scope or capability related to cost management. Compliance: scope or capability related to compliance.,Reese Martinez
Storage,Telephony,TEB Approved,Azure AI Search,3.2.9,Pilot completed with positive feedback from stakeholders.,Approved as a standard for enterprise use.,Oracle,Legacy,EA6556981,"Azure AI Search is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Cloud Communications, Data Engineering, Semantic Ranker, Contact Center, PII, Observability",Cloud Communications: scope or capability related to cloud communications. Data Engineering: scope or capability related to data engineering. Semantic Ranker: scope or capability related to semantic ranker. Contact Center: scope or capability related to contact center. PII: scope or capability related to pii. Observability: scope or capability related to observability.,Alex Martinez
Messaging,Backup & DR,TEB Not Approved,Cloudflare,4.1.5,Document architecture in the catalog and link runbooks.,Requires private endpoint and managed identity configuration.,Oracle,Reference Standard,EA8465648,"Cloudflare is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Data Engineering, Observability, Compliance, Cost Management",Data Engineering: scope or capability related to data engineering. Observability: scope or capability related to observability. Compliance: scope or capability related to compliance. Cost Management: scope or capability related to cost management.,Avery Jackson
Platforms,SaaS Integration,Under Review,Secrets Manager,4.8.0,Pilot completed with positive feedback from stakeholders.,Pilot completed with positive feedback from stakeholders.,Zoom,Internal Only,EA9957773,"Secrets Manager is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Microservices, CI/CD, Edge, Analytics, Compliance, Customer Experience",Microservices: scope or capability related to microservices. CI/CD: scope or capability related to ci/cd. Edge: scope or capability related to edge. Analytics: scope or capability related to analytics. Compliance: scope or capability related to compliance. Customer Experience: scope or capability related to customer experience.,Casey Martinez
Identity & Access Mgmt,SaaS Integration,Provisional Standard,Kafka,2.4.3,Meets security baselines and compliance requirements.,Deprecated for new deployments; maintain only.,Microsoft,Provisional Standard,EA3791769,"Kafka is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","PII, Cost Management, DevOps, Vector Search",PII: scope or capability related to pii. Cost Management: scope or capability related to cost management. DevOps: scope or capability related to devops. Vector Search: scope or capability related to vector search.,Taylor Thomas
AI/ML,Telephony,TEB Approved,Jenkins,4.3.2,Vendor support SLA reviewed by procurement.,Hybrid retrieval and strict filtering supported.,Amazon,Legacy,EA3172788,"Jenkins is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Cache, Automation, Backup, CI/CD, Edge",Cache: scope or capability related to cache. Automation: scope or capability related to automation. Backup: scope or capability related to backup. CI/CD: scope or capability related to ci/cd. Edge: scope or capability related to edge.,Robin Martinez
Databases,Backup & DR,Deprecated,Cohere Embed,2.7.7,Pilot completed with positive feedback from stakeholders.,Meets security baselines and compliance requirements.,Databricks,Legacy,EA7347143,"Cohere Embed is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","RAG, Networking, Customer Experience, UC Platform, Vector Search",RAG: scope or capability related to rag. Networking: scope or capability related to networking. Customer Experience: scope or capability related to customer experience. UC Platform: scope or capability related to uc platform. Vector Search: scope or capability related to vector search.,Riley Jackson
Platforms,API Gateway,TEB Approved,Security Command Center,4.5.8,Hybrid retrieval and strict filtering supported.,Enable logging and tag resources for cost allocation.,Amazon,Product Standard,EA6690967,"Security Command Center is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","LLM Orchestration, BM25, Cache",LLM Orchestration: scope or capability related to llm orchestration. BM25: scope or capability related to bm25. Cache: scope or capability related to cache.,Riley Harris
Content Services,Queueing,Under Review,GitHub Actions,2.7.3,Pilot completed with positive feedback from stakeholders.,Enable logging and tag resources for cost allocation.,OpenAI,Provisional Standard,EA6562729,"GitHub Actions is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Cost Management, Cloud Communications, Compliance",Cost Management: scope or capability related to cost management. Cloud Communications: scope or capability related to cloud communications. Compliance: scope or capability related to compliance.,Alex Patel
Identity & Access Mgmt,Queueing,TEB Not Approved,Pinecone,4.2.0,Pilot completed with positive feedback from stakeholders.,Enable logging and tag resources for cost allocation.,HashiCorp,Product Standard,EA7556464,"Pinecone is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","DevOps, AI Experience Platform, Edge",DevOps: scope or capability related to devops. AI Experience Platform: scope or capability related to ai experience platform. Edge: scope or capability related to edge.,Jamie Nguyen
Storage,Feature Store,TEB Approved,Jenkins,1.0.3,Meets security baselines and compliance requirements.,Approved as a standard for enterprise use.,ServiceNow,Product Standard,EA3271937,"Jenkins is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Cache, LLM Orchestration, Analytics, Backup, Edge",Cache: scope or capability related to cache. LLM Orchestration: scope or capability related to llm orchestration. Analytics: scope or capability related to analytics. Backup: scope or capability related to backup. Edge: scope or capability related to edge.,Shawn Patel
Messaging,Endpoint Security,Provisional Standard,Event Hubs,1.4.9,Enable logging and tag resources for cost allocation.,Enable logging and tag resources for cost allocation.,Zoom,Provisional Standard,EA9314919,"Event Hubs is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","LLM Orchestration, Networking, Observability",LLM Orchestration: scope or capability related to llm orchestration. Networking: scope or capability related to networking. Observability: scope or capability related to observability.,Avery Brown
Finance Tools,Patch Mgmt,Provisional Standard,Teams,4.7.1,Enable logging and tag resources for cost allocation.,Requires private endpoint and managed identity configuration.,VMware,Product Standard,EA6284987,"Teams is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Observability, Edge, Cloud Communications, Semantic Ranker, RAG, Vector Search",Observability: scope or capability related to observability. Edge: scope or capability related to edge. Cloud Communications: scope or capability related to cloud communications. Semantic Ranker: scope or capability related to semantic ranker. RAG: scope or capability related to rag. Vector Search: scope or capability related to vector search.,Reese Lewis
Finance Tools,MLOps,Deprecated,MongoDB Atlas,4.9.9,Enable logging and tag resources for cost allocation.,Requires private endpoint and managed identity configuration.,Microsoft,Internal Only,EA5273545,"MongoDB Atlas is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Backup, PII, Semantic Ranker, Networking, AI Experience Platform",Backup: scope or capability related to backup. PII: scope or capability related to pii. Semantic Ranker: scope or capability related to semantic ranker. Networking: scope or capability related to networking. AI Experience Platform: scope or capability related to ai experience platform.,Jamie Garcia
Finance Tools,Feature Store,Deprecated,New Relic,2.7.7,Hybrid retrieval and strict filtering supported.,Approved as a standard for enterprise use.,Google,Reference Standard,EA3634957,"New Relic is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Observability, Edge, Networking, RAG, LLM Orchestration",Observability: scope or capability related to observability. Edge: scope or capability related to edge. Networking: scope or capability related to networking. RAG: scope or capability related to rag. LLM Orchestration: scope or capability related to llm orchestration.,Shawn Wilson
Networking,Data Lake,Provisional Standard,Cosmos DB,1.3.5,Provisional until further risk assessment is complete.,Vendor support SLA reviewed by procurement.,Atlassian,Product Standard,EA3749894,"Cosmos DB is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","CI/CD, Data Engineering, BM25",CI/CD: scope or capability related to ci/cd. Data Engineering: scope or capability related to data engineering. BM25: scope or capability related to bm25.,Sam Brown
Platforms,Data Lake,TEB Approved,Kubernetes,2.4.0,Approved as a standard for enterprise use.,Vendor support SLA reviewed by procurement.,Snowflake,Product Standard,EA7109477,"Kubernetes is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","RAG, Analytics, Contact Center, Semantic Ranker, DevOps, Agent Assist",RAG: scope or capability related to rag. Analytics: scope or capability related to analytics. Contact Center: scope or capability related to contact center. Semantic Ranker: scope or capability related to semantic ranker. DevOps: scope or capability related to devops. Agent Assist: scope or capability related to agent assist.,Reese Patel
Databases,Secrets Mgmt,TEB Approved,GCS,1.2.2,Document architecture in the catalog and link runbooks.,Pilot completed with positive feedback from stakeholders.,Google,Product Standard,EA1869993,"GCS is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Automation, CI/CD, BM25, Cloud Communications, Observability, Cache",Automation: scope or capability related to automation. CI/CD: scope or capability related to ci/cd. BM25: scope or capability related to bm25. Cloud Communications: scope or capability related to cloud communications. Observability: scope or capability related to observability. Cache: scope or capability related to cache.,Cameron Anderson
Collaboration,SaaS Integration,TEB Approved,Azure DevOps,2.3.4,Provisional until further risk assessment is complete.,Deprecated for new deployments; maintain only.,Cisco,Product Standard,EA8120679,"Azure DevOps is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","BM25, Contact Center, Vector Search, CI/CD, PII, Edge",BM25: scope or capability related to bm25. Contact Center: scope or capability related to contact center. Vector Search: scope or capability related to vector search. CI/CD: scope or capability related to ci/cd. PII: scope or capability related to pii. Edge: scope or capability related to edge.,Shawn Harris
Analytics,Routing,TEB Not Approved,Redis Enterprise,3.9.3,Enable logging and tag resources for cost allocation.,Provisional until further risk assessment is complete.,NVIDIA,Product Standard,EA2421024,"Redis Enterprise is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Automation, Agent Assist, PII, BM25, Cost Management",Automation: scope or capability related to automation. Agent Assist: scope or capability related to agent assist. PII: scope or capability related to pii. BM25: scope or capability related to bm25. Cost Management: scope or capability related to cost management.,Casey Martinez
DevOps,Secrets Mgmt,Deprecated,Kafka,1.6.5,Document architecture in the catalog and link runbooks.,Pilot completed with positive feedback from stakeholders.,Microsoft,Provisional Standard,EA3990490,"Kafka is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","DevOps, Serverless, Disaster Recovery, Automation",DevOps: scope or capability related to devops. Serverless: scope or capability related to serverless. Disaster Recovery: scope or capability related to disaster recovery. Automation: scope or capability related to automation.,Robin Williams
Platforms,Edge CDN,Deprecated,Dataflow,4.1.7,Requires private endpoint and managed identity configuration.,Enable logging and tag resources for cost allocation.,HashiCorp,Reference Standard,EA1256746,"Dataflow is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Automation, Customer Experience, RAG",Automation: scope or capability related to automation. Customer Experience: scope or capability related to customer experience. RAG: scope or capability related to rag.,Casey Brown
Finance Tools,ETL/ELT,Under Review,Bedrock,1.8.7,Enable logging and tag resources for cost allocation.,Approved as a standard for enterprise use.,Zoom,Legacy,EA5977034,"Bedrock is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","BM25, Automation, PII, DevOps",BM25: scope or capability related to bm25. Automation: scope or capability related to automation. PII: scope or capability related to pii. DevOps: scope or capability related to devops.,Jordan Nguyen
